               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068066,            0.041466,            0.027069,             0.15213,                0.21,            0.099981,            0.020837,            0.043774,            0.045037,             0.02563,             0.00049,             0.00049,             0.09559
                   1,            0.044886,            0.043347,            0.026687,             0.18831,                0.28,             0.15109,            0.031427,            0.042625,            0.042886,            0.025662,          0.00098452,          0.00098452,            0.091085
                   2,             0.04215,            0.041537,            0.026409,             0.36083,                0.34,             0.26909,             0.06812,            0.039631,            0.040731,            0.025529,           0.0014572,           0.0014572,            0.086557
                   3,            0.038971,            0.039034,            0.026418,             0.39005,                0.66,             0.41417,             0.15603,            0.036336,            0.037558,            0.025524,           0.0018924,           0.0018924,            0.081992
                   4,            0.035522,            0.035097,            0.026421,             0.39596,                 0.6,             0.40667,             0.13915,            0.039629,            0.036256,            0.025397,            0.002276,            0.002276,            0.077376
                   5,            0.032467,            0.030129,            0.026469,             0.43919,             0.68872,             0.46309,             0.24012,            0.031199,            0.028196,             0.02526,           0.0025959,           0.0025959,            0.072696
                   6,            0.029102,            0.025627,            0.026303,             0.42339,             0.82666,             0.47467,             0.24076,            0.029225,            0.024225,            0.025263,           0.0028426,           0.0028426,            0.067943
                   7,            0.028984,            0.022339,            0.026476,             0.39108,                0.78,             0.45352,             0.23293,             0.03053,            0.021478,            0.025578,           0.0030096,           0.0030096,             0.06311
                   8,            0.027655,            0.019958,            0.026588,             0.37639,             0.94992,             0.46929,             0.22523,               0.029,            0.019784,            0.025354,           0.0030939,           0.0030939,            0.058194
                   9,            0.025623,            0.018385,            0.026125,             0.46563,                0.98,             0.52113,             0.29314,            0.025717,            0.018459,            0.025179,           0.0030958,           0.0030958,            0.053196
                  10,            0.026904,            0.017136,            0.026636,              0.3759,                0.87,             0.44725,             0.23132,            0.029467,            0.017818,            0.025248,           0.0030195,           0.0030195,             0.04812
                  11,            0.025696,            0.016439,            0.026124,             0.48523,                   1,             0.51004,             0.35263,            0.022157,            0.016874,            0.025249,           0.0028728,           0.0028728,            0.042973
                  12,            0.023028,            0.015635,            0.026534,             0.40074,                0.83,             0.45938,             0.23978,            0.028089,            0.016396,            0.025391,            0.002667,            0.002667,            0.037767
                  13,             0.02312,            0.014959,            0.026147,             0.50004,                   1,             0.52785,             0.37939,            0.020823,            0.015294,            0.025243,           0.0024165,           0.0024165,            0.032516
                  14,            0.020828,            0.014175,             0.02612,             0.49448,                   1,             0.53047,             0.35499,            0.022401,            0.014874,            0.025108,           0.0021384,           0.0021384,            0.027238
                  15,            0.020804,            0.013952,            0.026305,             0.50182,                0.99,             0.52063,             0.33552,            0.023566,            0.014739,            0.025242,           0.0018521,           0.0018521,            0.021952
                  16,            0.018743,            0.013305,            0.025955,             0.49462,                   1,             0.52772,             0.37232,            0.019848,            0.014125,            0.025158,           0.0015787,           0.0015787,            0.016679
                  17,            0.017756,            0.012907,            0.026161,             0.49964,                   1,             0.53153,             0.39506,            0.018011,            0.013339,            0.025142,           0.0013399,           0.0013399,             0.01144
                  18,            0.015675,            0.012286,             0.02618,             0.50252,             0.98996,             0.52902,             0.39978,            0.018317,            0.013558,            0.025174,            0.001158,            0.001158,            0.006258
                  19,            0.015983,            0.012201,            0.026299,             0.49994,                   1,             0.52258,             0.41138,            0.016679,            0.012793,            0.025177,           0.0010543,           0.0010543,           0.0011543
